"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Bahrain","BHR","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","168.0172413793","170.9217506631","179.1097480106","187.8348806366","196.5600132626","205.2851458886","214.0102785146","222.7354111406","231.4605437666","240.1856763926","248.9108090186","234.7623784262","220.6139478338","205.775862069","201.105015674","196.434169279","191.763322884","187.092476489","182.421630094","177.7507836991","173.0799373041","168.4090909091","163.7382445141","159.0673981191","154.3965517241","137.1551724138","133.7068965517","133.7068965517","133.7068965517","133.7068965517","133.7068965517","133.7068965517","","","",
"Bahamas, The","BHS","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.4687915007","2.4807436919","2.4933598938","2.5059760956","2.5166002656","2.5146082337","2.5258964143","2.5869853918","2.6022576361","2.8545816733","2.8911022576","2.812749004","2.906374502","2.8937583001","2.7383798141","2.7788844622","2.786188579","2.6620185923","2.0717131474","2.0285524568","1.9995219124","2.0348406375","","","",
"Belarus","BLR","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.5260382334","6.4317732367","6.3375082399","6.2432432432","6.1489782465","6.0547132498","5.9683586025","5.8820039552","5.7956493078","5.7092946605","5.6229400132","5.5187870798","5.4146341463","5.3104812129","5.2063282795","5.1021753461","5.0648209185","5.0274664909","4.9901120633","5.1779828609","4.7725774555","4.7857613711","4.6044825313","4.581410679","4.475939354","4.3770599868","4.6967699407","","","",
"Belize","BLZ","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2495632643","0.2881095903","0.3266559162","0.3652022422","0.4037485682","0.4422948942","0.4808412202","0.6015057441","0.722170268","0.8297951113","0.9374199546","1.045044798","1.1526696413","1.2602944847","1.2602944847","1.2602944847","1.2602944847","1.2602944847","1.2602944847","1.2602944847","1.2602944847","1.2602944847","1.2602944847","1.2602944847","1.2602944847","1.2602944847","1.2602944847","1.2602944847","1.2602944847","1.2602944847","1.2602944847","1.2602944847","1.2602944847","1.2602944847","1.2602944847","","","",
"Bermuda","BMU","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.6989853439","0.7324869325","0.7659885211","0.7994901097","0.8329916983","0.8664932869","0.8999948755","0.9334964641","0.9669980527","1.0004996413","1.0340012299","1.0675028185","1.1010044071","1.1094997324","1.1179950577","1.126490383","1.1349857083","1.1434810336","1.1519763589","1.1604716841","1.1689670094","1.1770011274","1.1770011274","1.1835549267","1.190108726","1.1966625254","1.2032163247","1.209770124","1.2163239233","1.2228777227","1.229431522","1.2359853213","1.2425391206","1.2452885569","1.2429031003","","","",
"Brazil","BRA","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.6567375887","1.7607039664","1.8646703441","1.9686367218","2.0726030996","2.1776201734","2.2817966903","2.3859732072","2.4901497242","2.5924349882","2.6077541371","2.6230732861","2.638392435","2.6529550827","2.6680851064","2.68321513","2.6983451537","2.7134751773","2.7286052009","2.7437352246","2.9418439716","3.1395271868","3.337393617","3.5352600473","3.419178487","3.3030969267","3.1870153664","3.0743262411","3.0193853428","3.1352245863","3.1054373522","1.4641127257","1.4848084544","1.4793042712","1.4819462792","","","",
"Barbados","BRB","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","","","37.5","39.375","41.25","43.125","45","46.875","48.75","50.625","52.5","54.375","56.25","58.125","60","61.875","63.75","65.625","67.5","69.375","71.25","73.125","75","76.875","78.75","80.625","82.5","84.375","86.25","88.125","90","91.875","93.75","95.625","97.5","99.375","101.25","101.25","101.25","101.25","101.25","101.25","101.25","101.25","101.25","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","","","",
"Brunei Darussalam","BRN","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.86360211","3.0645566441","3.2655111781","3.4664657121","3.4664657121","3.4664657121","3.4664657121","3.4664657121","3.4664657121","3.4664657121","3.4664657121","3.4664657121","3.4664657121","3.4664657121","3.4664657121","3.4664657121","3.4664657121","3.4664657121","3.4664657121","3.4664657121","3.4664657121","3.4664657121","3.4664657121","3.4664657121","3.4664657121","3.4664657121","3.4664657121","3.4664657121","3.4664657121","3.4664657121","3.4664657121","","","",
